station_from_nlc,station_to_nlc,time,line
706,664,3.51,"Piccadilly"
526,667,3,"Piccadilly"
612,667,2,"Piccadilly"
505,671,2.5,"Piccadilly"
654,671,2,"Piccadilly"
590,674,1.5,"Piccadilly"
631,674,1.5,"Piccadilly"
564,683,3.95,"Piccadilly"
707,683,3.06,"Piccadilly"
615,691,2.5,"Piccadilly"
693,691,1.5,"Piccadilly"
564,693,2,"Piccadilly"
691,693,1.5,"Piccadilly"
607,694,2,"Piccadilly"
625,694,2,"Piccadilly"
500,704,3.02,"Piccadilly"
655,704,1.5,"Piccadilly"
683,707,4.46,"Piccadilly"
720,707,2.75,"Piccadilly"
583,708,1.5,"Piccadilly"
626,708,2.5,"Piccadilly"
509,706,2.51,"Piccadilly"
664,706,2.5,"Piccadilly"
707,720,2,"Piccadilly"
721,720,2.5,"Piccadilly"
505,721,2.5,"Piccadilly"
720,721,2.5,"Piccadilly"
638,735,3,"Piccadilly"
770,735,1.5,"Piccadilly"
606,740,3.5,"Piccadilly"
527,770,2.57,"Piccadilly"
735,770,2.02,"Piccadilly"
729,522,2.5,"Victoria"
742,522,2,"Victoria"
716,778,2.5,"Victoria"
625,574,1.5,"Victoria"
745,574,1.5,"Victoria"
603,6119,2.56,"Victoria"
698,6119,4,"Victoria"
669,590,2.04,"Victoria"
741,590,2,"Victoria"
6119,603,2.55,"Victoria"
625,603,3,"Victoria"
574,625,2,"Victoria"
603,625,3.5,"Victoria"
590,669,2.02,"Victoria"
745,669,2,"Victoria"
777,776,1.5,"Victoria"
741,776,2,"Victoria"
6119,698,5.76,"Victoria"
729,698,3.28,"Victoria"
778,716,2,"Victoria"
777,716,2.52,"Victoria"
522,729,2,"Victoria"
698,729,1.5,"Victoria"
776,777,1.54,"Victoria"
716,777,2.5,"Victoria"
590,741,2.54,"Victoria"
776,741,2.51,"Victoria"
522,742,2.01,"Victoria"
574,745,1.5,"Victoria"
669,745,2.04,"Victoria"
747,513,4,"Waterloo & City"
513,747,3.75,"Waterloo & City"
